,address,language,source,pages,date,publisher,booktitle,title,author,ENTRYTYPE,idCode,unmatched-pages,volume,journal,number,organization,medium,unmatched-author,editor,director,producer,type,note,unmatched-booktitle,url,unmatched-volume,more-authors,unknown,institution,unmatched-journal
36,,,May,"""pp."" # ""–81"" # ""p. 133).""",2016,,,“A Measurement Platform for Photovoltaic Performance Anal- ysis in Environments with Ultra-Low Energy Harvesting Potential”. In: Sustain- able Cities and,"Masoudinejad, M. and Emmerich, J. and Kossmann, D. and Riesner, A. and Roidl, M. and ten Hompel, M.",article,masoudinejad2016a,–81 p. 133).,25,Society,,,,,,,,,cit. on,,,74,,,,
37,,,May,"""pp. 15,"" # ""133).""",2018-08,accepted for,,"“Average Mod- elling of State-of-the-Art Ultra-low Power Energy Harvesting Converter IC”. In: International Symposium on Power Electronics, Electrical Drives, Automation and Motion","Masoudinejad, M. and Magno, M. and Benini, L. and ten Hompel, M.",book,masoudinejad2018a,133).,48,,,,,,,,,,,,,,,,,
38,,,May,"""pp. 1–7 (cit."" # ""p. 130).""",2017-06,,,Rushing Full Speed with LTE- Advanced is Economical - A Power Consumption Analysis,"Falkenberg, R. and Sliwa, B. and Wietfeld, C.",article,falkenberg2017a,p. 130).,,In: IEEE Vehicular Technology Conference,,,,,,,,,,,,,,,,
39,Singapore,,May,"""pp. 1–7 (cit."" # ""pp. 131, 141).""",2017-12,,,Discover Your Competition in LTE: Client-Based Passive Data Rate Prediction by Machine Learning,"Falkenberg, R. and Heimann, K. and Wietfeld, C.",misc,falkenberg2017b,"pp. 131, 141).",,,,,,,"Globecom, I.E.E.E.",,,,,,,,,,,
40,,,May,"""pp."" # ""134).""",2017-09-19,,2017 Federated Conference on Computer Science and Information Systems (FedCSIS),PhyNetLab: An IoT-based warehouse testbed,"Falkenberg, R. and Masoudinejad, M. and Buschhoﬀ, M. and Venkatapathy, A.K.Ramachandran and Friesel, D. and ten Hompel, M. and Spinczyk, O. and Wietfeld, C.",incollection,falkenberg2017c,134).,,,,,,,,,,,,,,,,,,
41,,,May,159,2015,,Proceedings of the 31th Conference on Uncertainty in Artiﬁcial Intelligence,Parameterizing the Distance Dis- tribution of Undirected Networks,"Bauckhage, C. and Kersting, K. and Hadiji, F.",inproceedings,bauckhage2015a,,,,,,,"M. Meila. AUAI,","and, UAIby T. Heskes",,,,,,,,,,,
42,,,May,155–158,,,24th ACM SIGKDD International Conference on Knowledge Discovery and Data Mining (KDD). 2018 (cit. on,Approximating the Spectrum of a Graph,"Cohen-Steiner, D. and Kong, W. and Sohler, C. and Valiant, G.",incollection,cohen-steiner-a,,,,,,,,,,,,,,,,,,,
43,,,May,"""pp. 209–245 (cit."" # ""pp. 156, 166).""",2016-02,,,“Propagation Ker- nels: Eﬃcient Graph Kernels from Propagated Information”. In: Machine Learn- ing 102.2,"Neumann, M. and Garnett, R. and Bauckhage, C. and Kersting, K.",misc,neumann2016a,"pp. 156, 166).",,,,,,,,,,,,,,,,,,
44,,,May,"""pp. 2357–2363"" # ""pp. 159, 247).""",2017,cit. on,AAAI Conference on Artiﬁcial Intelligence (AAAI),“Poisson Sum-Product Networks: A Deep Architecture for Tractable Multivariate Poisson Distributions”. In: Pro- ceedings of the 31st,"Molina, A. and Natarajan, S. and Kersting, K.",incollection,molina2017a,"pp. 159, 247).",,,,,,,,,,,,,,,,,,
45,,,May,"""pp. 327–336 (cit."" # ""pp. 156, 167, 172).""",2017,,,“Glocalized Weisfeiler-Lehman Graph Kernels: Global-Local Feature Maps of Graphs”. In: IEEE International Confer- ence on Data Mining (ICDM),"Morris, C. and Kersting, K. and Mutzel, P.",misc,morris2017a,"pp. 156, 167, 172).",,,,,,,,,,,,,,,,,,
46,,,May,"""pp. 1095–1100"" # ""pp. 48, 156–158, 166, 167).""",2016,cit. on,,“Faster Kernels for Graphs with Continuous Attributes via Hashing”. In: IEEE International Con- ference on Data Mining (ICDM),"Morris, C. and Kriege, N. and Kersting, K. and Mutzel, P.",book,morris2016a,"pp. 48, 156–158, 166, 167).",,,,,,,,,,,,,,,,,,
47,,,May,160–166,196).,,IEEE Conference on Computer Vision and Pattern Recognition (CVPR). 2018 (cit. on,SplineCNN: Fast Ge- ometric Deep Learning with Continuous B-Spline Kernels,"Fey, M. and Lenssen, J.E. and Weichert, F. and Müller, H.",incollection,fey-a,,,,,,,,,,,,,,,,,,,
48,,,May,"""pp. 1623–1631 (cit."" # ""pp. 157, 158,"" # ""168).""",2016,,Advances in Neural Informa- tion Processing Systems (NIPS),On Valid Optimal Assignment Ker- nels and Applications to Graph Classiﬁcation,"Kriege, N. and Giscard, P. and Wilson, R.C.",incollection,kriege2016a,"pp. 157, 158, 168).",167,,,,,,,,,,,,,,,,,
49,,,May,155–158,,cit. on,International Joint Conference on Artiﬁcial Intelligence (IJCAI). 2018,A Property Testing Frame- work for the Theoretical Expressivity of Graph Kernels,"Kriege, N. and Morris, C. and Rey, A. and Sohler, C.",incollection,kriege-a,,,,,,,,,,,,,,,,,,,
50,,,May,48–160,2018,,"International Workshop on Cost-Sensitive Learning (COST), SIAM International Conference on Data Min- ing (SDM). Proceedings of Machine Learning Research (PMLR)",Recognizing Cuneiform Signs Using Graph Based Methods,"Kriege, N. and Fey, M. and Fisseler, D. and Mutzel, P. and Weichert, F.",inproceedings,kriege2018a,,,,,,,,,,,,,,,,,,,
51,,,May,"""pp. 1376–1390"" # ""p. 181).""",2015-03,,,“Review on Ion Mobility Spectrometry. Part 1: Current Instrumentation”. In: Analyst 140.5,"Cumeras, R. and Figueras, E. and Davis, C.E. and Baumbach, J.I. and Gràcia, I.",misc,cumeras2015a,p. 181).,,,,,,,,,,,cit. on,,,,,,,
52,,,May,"""pp. 1391–1410"" # ""p. 181).""",2015-03,,,“Trying to detect gas-phase ions? Understanding Ion Mobility Spectrometry Part 2: Hy- phenated Methods and Eﬀects of Experimental Parameters”. In: Analyst 140.5,"Cumeras, R. and Figueras, E. and Davis, C.E. and Baumbach, J.I. and Gràcia, I.",misc,cumeras2015b,p. 181).,,,,,,,,,,,cit. on,,,,,,,
53,,,May,"""pp. 117–126 (cit."" # ""p. 185).""",2015-01,,,Volatile Organic Compounds during Inﬂammation and Sepsis in Rats: A Potential Breath Test Using Ion-mobility Spectrometry,"Fink, T. and Wolf, A. and Maurer, F. and Albrecht, F.W. and Heim, N. and Wolf, B. and Hauschild, A.C. and Bödeker, B. and Baumbach, J.I.",incollection,fink2015a,p. 185).,,,,,,,,,,,,,,,true,,,
54,,,May,,2017-12,,NMR in Biomedicine 31.2,Impact of intratumoral heterogeneity of breast cancer tissue on quantitative metabolom ics using high-resolution magic angle spinning 1 H NMR spectroscopy,"Gogiashvili, M. and Horsch, S. and Marchan, R. and Gianmoena, K. and Cadenas, C. and Tanner, B. and Naumann, S. and Ersova, D. and Lippek, F.",incollection,gogiashvili2017a,,,,,,,,,,,,,,,,true,,,
55,,,May,"""p. 17"" # ""p. 181).""",2015,,,“An online peak extraction algorithm for ion mobility spectrometry data”. In: Algorithms for Molecular Biology 10.1,"Kopczynski, D. and Rahmann, S.",misc,kopczynski2015a,p. 181).,,,,,,,,,,,cit. on,,,,,,,
56,,,May,"""e0184321"" # ""pp."" # ""182).""",2017,cit. on,,A detailed comparison of analysis processes for MCC-IMS data in disease classiﬁcation—Automated methods can replace manual peak an- notations,"Horsch, S. and Kopczynski, D. and Kuthe, E. and Baumbach, J.I. and Rahmann, S. and Rahnenführer, J.",article,horsch2017a,pp. 182).,12,In: PLOS ONE,9,,,,,,,,,,,"181,",,,,
57,,,May,181,2015,,PeerJ PrePrints,From raw ion mobility measurements to disease classiﬁcation: a comparison of analysis processes,"Horsch, S. and Kopczynski, D. and Baumbach, J.I. and Rahnenführer, J. and Rahmann, S.",incollection,horsch2015a,,3,,,,,,,,,,,,,,,,,
58,,,May,"""pp. 1–8 (cit."" # ""p. 181).""",2017,,,Volatile Organic Compounds in Exhaled Breath of Idiopathic Pulmonary Fibrosis for Discrimina- tion from Healthy Subjects,"Yamada, Y.-i and Yamada, G. and Otsuka, M. and Nishikiori, H. and Ikeda, K. and Umeda, Y. and Ohnishi, H. and Chiba, H.Kuronuma Kojiand and Baumbach, J.I.",incollection,yamada2017a,p. 181).,,,,,,,,,,,,,,,true,,,
59,,,December,182,2014-05,,,Ressourcenbeschränkte Analyse von Ionenmobil- itätsspektren mit dem Raspberry Pi. Abschlussbericht der Projektgruppe 572 der Fakultät für Informatik,"Egorov, A. and König, A. and Köppen, M. and Kühn, H. and Kullack, I. and Kuthe, E. and Mitkovska, S. and Niehage, R. and Pawelko, A.",incollection,egorov2014a,,,,,,,,,,,,,,,,true,,,
60,,,May,17,2018,,Proceedings of the 24th IEEE Real-Time and Embedded Technology and Applications Sympo- sium,Shared-Resource-Centric Limited Preemptive Scheduling: A Com- prehensive Study of Suspension-base Partitioning Approaches,"Dong, Z. and Liu, C. and Bateni, S. and Chen, K.-H. and Chen, J.-J. and von der Brüggen, G. and Shi, J.",inproceedings,dong2018a,,,,,,,,,,,,,,,,,,,
61,"Cambridge, UK",,May,p.,2018-03,,"the 26th Euromicro International Conference on Parallel, Distributed and Network-based Processing (PDP",Saving Energy for Cloud Applications in Mobile Devices using Nearby Resources,"Toma, A. and Starinow, A. and Lenssen, J.E. and Chen, J.-J.",incollection,toma2018a,,,,,,,,,,,,,,,,,,,
62,,,May,p.,2017,,"International Conference on Image Processing Theory, Tools and Applications (IPTA",Unsupervised Data Analysis for Virus Detection with a Surface Plasmon Resonance Sensor,"Siedhoﬀ, D. and Strauch, M. and Shpacovitch, V. and Merhof, D.",incollection,siedho2017a,,,,,,,,,,,,,,,,,,,
63,,,May,"""pp. 98–103 (cit."" # ""p. 196).""",2017,,,Real-Time Virus Size Classiﬁcation Using Surface Plasmon PAMONO Resonance and Convolutional Neural Networks,"Lenssen, J.E. and Shpacovitch, V. and Weichert, F.",article,lenssen2017a,p. 196).,,In: Bildverarbeitung für die Medizin,,,,,,,,,,,,,,,,
64,,,May,"""pp. 81–100 (cit."" # ""p.""",2017,,,A Review of Nano-Particle Analysis with the PAMONO-Sensor,"Lenssen, J.E. and Shpacovitch, V. and Siedhoﬀ, D. and Libuschewski, P. and genröder, R.Her- and Weichert, F.",article,lenssen2017b,p.,,In: Biosensors: Advances and Reviews,,,,,,,,,,,,,,,,
65,,,May,195–198,,"SciTePress, 2018 (cit. on",Inter- national Conference on Bio-inspired Systems and Signal Processing (BIOSIG- NALS),Real-Time Low SNR Signal Processing for Nanoparticle Analysis with Deep Neural Networks,"Lenssen, J.E. and Toma, A. and Seebold, A. and Shpacovitch, V. and Libuschewski, P. and Weichert, F. and Chen, J.-J. and Hergenröder, R.",incollection,lenssen-a,,,,,,,,,,,,,,,,,,,
66,,,May,160–166,196).,,IEEE Conference on Computer Vision and Pattern Recognition (CVPR). 2018 (cit. on,SplineCNN: Fast Ge- ometric Deep Learning with Continuous B-Spline Kernels,"Fey, M. and Lenssen, J.E. and Weichert, F. and Müller, H.",incollection,fey-b,,,,,,,,,,,,,,,,,,,
67,In,,May,"""pp. 1–14 (cit."" # ""pp.""",2017,Sensors 17.2,,Application of the PAMONO-sensor for Quantiﬁcation of Microvesicles and Determination of Nano- particle Size Distribution,"Shpacovitch, V. and Sidorenko, I. and Lenssen, J.E. and Temchura, V. and Weichert, F. and Müller, H. and Überla, K. and Zybin, A. and Schramm, A.",book,shpacovitch2017a,pp.,,,,,,,,,,,,,,,true,,,
68,"Diss. Dortmund, Germany",,May,,2016,TU Dortmund,,A Parameter-Optimizing Model-Based Approach to the Analysis of Low-SNR Image Sequences for Biological Virus Detection,"Siedhoﬀ, D.",book,siedho2016a,,,,,,,,,,,,,,,,,,,
69,"Diss. Dortmund, Germany",,May,130,2017,TU Dortmund,,Exploration of Cyber-Physical Systems for GPGPU Com- puter Vision-Based Detection of Biological Viruses,"Libuschewski, P.",book,libuschewski2017a,,,,,,,,,,,,,,,,,,,
70,,,May,20–221,2018,Elsevier,,“Stability pre- diction in milling processes using a simulation-based machine learning approach”. In: 51st CIRP conference on Manufacturing Systems,"Saadallah, A. and Finkeldey, F. and Morik, K. and Wiederkehr, P.",book,saadallah2018a,,,,,,,,,,,,,,,,,,,
71,,,May,230–231,2017,,,“Qual- itätsprognosen zur Engpassentlastung in der Injektorfertigung unter Einsatz von Data Mining”. In: Schriftenreihe der Wissenschaftlichen Gesellschaft für Arbeits- und Betriebsorganisation (WGAB) e. V,"Deuse, J. and Schmitt, J. and Stolpe, M. and Wiegand, M. and Morik, K.",misc,deuse2017a,,,,,,,,,,,,,,,,,,,
72,,,May,"""pp. 15–34 (cit."" # ""pp. 18, 219).""",2016-06,,,The Internet of Things: Opportunities and Challenges for Dis- tributed Data Analysis,"Stolpe, M.",article,stolpe2016a,"pp. 18, 219).",18,In: SIGKDD Explorations,1,,,,,,,,,,,,,,,
73,,,May,"""pp. 109–138 (cit."" # ""pp. 18, 219).""",2016,LNAI. Springer International Publishing,,“Distributed Support Vector Machines: An Overview”. In: Solving Large Scale Learning Tasks: Challenges and Algorithms,"Stolpe, M. and Bhaduri, K. and Das, K.",book,stolpe2016b,"pp. 18, 219).",9580,,,,,,"Michaelis, S. and Piatkowski, N. and Stolpe, M.",,,,,,,,,,,
74,,,May,"""pp. 201–243 (cit."" # ""pp. 224, 228).""",2016,Springer,,“Sustainable Industrial Processes by Em- bedded Real-Time Quality Prediction”. In: Computational Sustainability,"Stolpe, M. and Blom, H. and Morik, K.",book,stolpe2016c,"pp. 224, 228).",,,,,,,,,,,,,,,,,,
75,In,,May,"""pp. 521–533 (cit."" # ""pp. 18,"" # ""228,""",2016,at-Automatisierungstechnik 64.7,,Prädiktive Prozessüber- wachung auf Basis verteilt erfasster Sensordaten,"Wiegand, M. and Stolpe, M. and Deuse, J. and Morik, K.",book,wiegand2016a,"pp. 18, 228,",222,,,,,,,,,,,,,,,,,
76,,,May,"""pp. 36–43 (cit."" # ""pp. 18,""",2015,,Proceedings of the 2nd International Workshop on Mining Urban Data,Distributed Traﬃc Flow Prediction with Label Proportions: From in-Network towards High Performance Computation with MPI,"Liebig, T. and Stolpe, M. and Morik, K.",inproceedings,liebig2015a,"pp. 18,",2,,,,,"1392. CEUR-WS,",,,,,,,,,,"21, 220, 224, 261",,
77,,,May,222,2018,,,Data Mining in der Gütesicherung der Stabstahlproduktion,"Lieber, D.",article,lieber2018a,,,Diss. TU Dortmund,,,,,,,,,cit. on,,,,,,,
78,,,May,223,2018-03,,,Mathematical modelling of the quality- based order assignment problem,"Schmitt, J. and Hahn, F. and Deuse, J.",techreport,schmitt2018a,,,,,,,,,,,Techreport,,,,,,,"2. Institute of Production Systems, TU Dortmund University",
79,Diss. Dortmund,,May,219,2017,TU Dortmund University,,Distributed Analysis of Vertically Partitioned Sensor Measurements under Communication Constraints,"Stolpe, M.",book,stolpe2017a,,,,,,,,,,,,cit. on,,,,,,,
80,,,May,246,2017-01,,,Mechanisms of jamming in the Nagel-Schreckenberg model for traﬃc ﬂow,"Bette, H.M. and Habel, L. and Emig, T. and Schreckenberg, M.",article,bette2017a,,95,In: Physical Review E,12311,,,,,,,,cit. on,,,,,,,
81,,,May,"""pp. 2357–2363"" # ""pp. 159, 247).""",2017,cit. on,AAAI Conference on Artiﬁcial Intelligence (AAAI),“Poisson Sum-Product Networks: A Deep Architecture for Tractable Multivariate Poisson Distributions”. In: Pro- ceedings of the 31st,"Molina, A. and Natarajan, S. and Kersting, K.",incollection,molina2017b,"pp. 159, 247).",,,,,,,,,,,,,,,,,,
82,"Nanjing, China",,May,250,2016-05,,IEEE Vehicular Technology Conference (VTC-Spring). IEEE,LOcal interferenCe com- pensATion (LOCATe) for GNSS-based Lane-Speciﬁc Positioning of Vehicles,"Niehöfer, B. and Schweikowski, F. and Wietfeld, C.",incollection,niehoefer2016a,,,,,,,,,,,,,,,,,,,
