,dc:title,@_fa,link,prism:url,dc:identifier,eid,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,article-number,source-id,openaccess,openaccessFlag,freetoread,freetoreadLabel,affiliation,pii,prism:isbn,pubmed-id
35,Measurement of Atmospheric Neutrino Oscillations with IceCube/DeepCore in its 79-string Configuration,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84995611285'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84995611285?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84995611285&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84995611285&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S1875389214006713'}]",https://api.elsevier.com/content/abstract/scopus_id/84995611285,SCOPUS_ID:84995611285,2-s2.0-84995611285,Euler S.,Physics Procedia,18753884,18753892,61,,598-607,2015-01-01,2015,10.1016/j.phpro.2014.12.058,0,Conference Proceeding,cp,Conference Paper,,12400154705,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfree2read'}, {'$': 'repository'}, {'$': 'repositoryvor'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Bronze'}, {'$': 'Green'}]}","[{'@_fa': 'true', 'affilname': 'Rheinisch-Westfälische Technische Hochschule Aachen', 'affiliation-city': 'Aachen', 'affiliation-country': 'Germany'}, {'@_fa': 'true', 'affilname': 'Uppsala Universitet', 'affiliation-city': 'Uppsala', 'affiliation-country': 'Sweden'}]",S1875389214006713,,
36,Measurement of atmospheric neutrino oscillations with icecube,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84883187844'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84883187844?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84883187844&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84883187844&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/84883187844,SCOPUS_ID:84883187844,2-s2.0-84883187844,Aartsen M.G.,Physical Review Letters,00319007,10797114,111,8,,2013-08-19,19 August 2013,10.1103/PhysRevLett.111.081801,61,Journal,ar,Article,081801,29150,0,False,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}","[{'@_fa': 'true', 'affilname': 'The University of Adelaide', 'affiliation-city': 'Adelaide', 'affiliation-country': 'Australia'}]",,,
37,Measurement of atmospheric neutrino oscillations with IceCube/DeepCore in its 79-string configuration,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85052296551'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85052296551?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85052296551&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85052296551&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/85052296551,SCOPUS_ID:85052296551,2-s2.0-85052296551,Euler S.,"Proceedings of the 33rd International Cosmic Rays Conference, ICRC 2013",,,2013-October,,,2013-01-01,2013,,1,Conference Proceeding,cp,Conference Paper,,21100874901,0,False,,,"[{'@_fa': 'true', 'affilname': 'Rheinisch-Westfälische Technische Hochschule Aachen', 'affiliation-city': 'Aachen', 'affiliation-country': 'Germany'}]",,"[{'@_fa': 'true', '$': '9788589064293'}]",
38,Search for time-independent neutrino emission from astrophysical sources with 3 yr of IceCube data,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84890099498'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84890099498?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84890099498&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84890099498&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/84890099498,SCOPUS_ID:84890099498,2-s2.0-84890099498,Aartsen M.G.,Astrophysical Journal,0004637X,15384357,779,2,,2013-12-20,20 December 2013,10.1088/0004-637X/779/2/132,87,Journal,ar,Article,132,26765,0,False,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}","[{'@_fa': 'true', 'affilname': 'The University of Adelaide', 'affiliation-city': 'Adelaide', 'affiliation-country': 'Australia'}]",,,
39,Improvement in fast particle track reconstruction with robust statistics,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84889009799'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84889009799?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84889009799&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84889009799&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0168900213014654'}]",https://api.elsevier.com/content/abstract/scopus_id/84889009799,SCOPUS_ID:84889009799,2-s2.0-84889009799,Aartsen M.G.,"Nuclear Instruments and Methods in Physics Research, Section A: Accelerators, Spectrometers, Detectors and Associated Equipment",01689002,,736,,143-149,2014-01-01,2014,10.1016/j.nima.2013.10.074,23,Journal,ar,Article,,29067,0,False,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}","[{'@_fa': 'true', 'affilname': 'The University of Adelaide', 'affiliation-city': 'Adelaide', 'affiliation-country': 'Australia'}]",S0168900213014654,,
40,Development of a general analysis and unfolding scheme and its application to measure the energy spectrum of atmospheric neutrinos with IceCube: IceCube Collaboration,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84924975571'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84924975571?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84924975571&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84924975571&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/84924975571,SCOPUS_ID:84924975571,2-s2.0-84924975571,Aartsen M.G.,European Physical Journal C,14346044,14346052,75,3,,2015-01-01,2015,10.1140/epjc/s10052-015-3330-z,35,Journal,ar,Article,116,27545,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}","[{'@_fa': 'true', 'affilname': 'The University of Adelaide', 'affiliation-city': 'Adelaide', 'affiliation-country': 'Australia'}]",,,
41,Observation of high-energy astrophysical neutrinos in three years of icecube data,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84907215917'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84907215917?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84907215917&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84907215917&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/84907215917,SCOPUS_ID:84907215917,2-s2.0-84907215917,Aartsen M.G.,Physical Review Letters,00319007,10797114,113,10,,2014-09-02,2 September 2014,10.1103/PhysRevLett.113.101101,962,Journal,ar,Article,101101,29150,0,False,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}","[{'@_fa': 'true', 'affilname': 'The University of Adelaide', 'affiliation-city': 'Adelaide', 'affiliation-country': 'Australia'}]",,,
42,A combined maximum-likelihood analysis of the high-energy astrophysical neutrino flux measured with icecube,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84942243015'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84942243015?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84942243015&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84942243015&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/84942243015,SCOPUS_ID:84942243015,2-s2.0-84942243015,Aartsen M.G.,Astrophysical Journal,0004637X,15384357,809,1,,2015-08-10,10 August 2015,10.1088/0004-637X/809/1/98,375,Journal,ar,Article,98,26765,0,False,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}","[{'@_fa': 'true', 'affilname': 'The University of Adelaide', 'affiliation-city': 'Adelaide', 'affiliation-country': 'Australia'}]",,,
43,SEARCHES FOR TIME-DEPENDENT NEUTRINO SOURCES WITH ICECUBE DATA FROM 2008 TO 2012,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84936066439'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84936066439?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84936066439&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84936066439&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/84936066439,SCOPUS_ID:84936066439,2-s2.0-84936066439,Aartsen M.G.,Astrophysical Journal,0004637X,15384357,807,1,,2015-07-01,1 July 2015,10.1088/0004-637X/807/1/46,63,Journal,ar,Article,46,26765,0,False,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}","[{'@_fa': 'true', 'affilname': 'The University of Adelaide', 'affiliation-city': 'Adelaide', 'affiliation-country': 'Australia'}]",,,
44,Search for dark matter annihilation in the Galactic Center with IceCube-79: IceCube Collaboration,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84945191700'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84945191700?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84945191700&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84945191700&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/84945191700,SCOPUS_ID:84945191700,2-s2.0-84945191700,Aartsen M.G.,European Physical Journal C,14346044,14346052,75,10,,2015-10-01,1 October 2015,10.1140/epjc/s10052-015-3713-1,56,Journal,ar,Article,492,27545,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}","[{'@_fa': 'true', 'affilname': 'The University of Adelaide', 'affiliation-city': 'Adelaide', 'affiliation-country': 'Australia'}]",,,
45,IceCube-Gen2 - The Next Generation Neutrino Observatory at the South Pole: Contributions to ICRC 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Development of a general analysis and unfolding scheme and its application to measure the energy spectrum of atmospheric neutrinos with IceCube: IceCube Collaboration,true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84924975571'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/84924975571?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84924975571&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84924975571&origin=inward'}]",https://api.elsevier.com/content/abstract/scopus_id/84924975571,SCOPUS_ID:84924975571,2-s2.0-84924975571,Aartsen M.G.,European Physical Journal C,14346044,14346052,75,3,,2015-01-01,2015,10.1140/epjc/s10052-015-3330-z,35,Journal,ar,Article,116,27545,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}","[{'@_fa': 'true', 'affilname': 'The University of Adelaide', 'affiliation-city': 'Adelaide', 'affiliation-country': 'Australia'}]",,,
47,The IceCube Neutrino Observatory - Contributions to ICRC 2015 Part III: Cosmic Rays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,The IceCube Neutrino Observatory - Contributions to ICRC 2015 Part II: Atmospheric and Astrophysical Diffuse Neutrino Searches of All Flavors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,The IceCube Neutrino Observatory - Contributions to ICRC 2015 Part I: Point Source Searches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,The Detection of a Type IIn Supernova in Optical Follow-up Observations of IceCube Neutrino Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
